utt_id|wav_path|speaker|text
Ibuprom_0001_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0001_female.wav|female|Zalecam Ibuprom, bo dobrze działa na ból i stan zapalny.
Ibuprom_0002_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0002_male.wav|male|Możesz kupić w aptece Ibuprom, powinien pomóc.
Ibuprom_0003_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0003_female.wav|female|Na ból i stan zapalny przepiszę ci Ibuprom.
Ibuprom_0004_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0004_male.wav|male|Najlepiej w twoim przypadku sprawdzi się Ibuprom.
Ibuprom_0005_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0005_female.wav|female|Na recepcie zapiszę Ibuprom.
Ibuprom_0006_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0006_male.wav|male|Jeśli masz ból i stan zapalny dobrze sprawdza się Ibuprom.
Ibuprom_0007_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0007_female.wav|female|Powinnaś spróbować kuracji Ibupromem.
Ibuprom_0008_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0008_male.wav|male|Przepiszę ci Ibuprom, bo zwykle dobrze działa.
Ibuprom_0009_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0009_female.wav|female|Jeśli masz ból i stan zapalny dobrze sprawdza się Ibuprom.
Ibuprom_0010_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0010_male.wav|male|Zalecam Ibuprom, bo dobrze działa na ból i stan zapalny.
Ibuprom_0011_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0011_female.wav|female|Powinnaś przyjmować Ibuprom na ból i stan zapalny.
Ibuprom_0012_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0012_female.wav|female|Możesz kupić w aptece Ibuprom, powinien pomóc.
Ibuprom_0013_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0013_male.wav|male|Na recepcie zapiszę Ibuprom.
Ibuprom_0014_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0014_male.wav|male|Na ból i stan zapalny przepiszę ci Ibuprom.
Ibuprom_0015_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0015_female.wav|female|Przepiszę ci Ibuprom, bo zwykle dobrze działa.
Ibuprom_0016_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Ibuprom_0016_male.wav|male|Na recepcie zapiszę Ibuprom jako lek na ból i stan zapalny.
Metafen_0001_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0001_male.wav|male|Na ból i stan zapalny przepiszę ci Metafen.
Metafen_0002_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0002_female.wav|female|Na ból i stan zapalny przepiszę ci Metafen.
Metafen_0003_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0003_male.wav|male|Zalecam Metafen, bo dobrze działa na ból i stan zapalny.
Metafen_0004_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0004_female.wav|female|Najlepiej w twoim przypadku sprawdzi się Metafen.
Metafen_0005_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0005_female.wav|female|Jeśli masz ból i stan zapalny dobrze sprawdza się Metafen.
Metafen_0006_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0006_female.wav|female|Przepiszę ci Metafen, bo zwykle dobrze działa.
Metafen_0007_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0007_female.wav|female|Zalecam Metafen, bo dobrze działa na ból i stan zapalny.
Metafen_0008_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0008_male.wav|male|Na recepcie zapiszę Metafen jako lek na ból i stan zapalny.
Metafen_0009_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0009_male.wav|male|Możesz kupić w aptece Metafen, powinien pomóc.
Metafen_0010_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0010_male.wav|male|Powinnaś spróbować kuracji Metafenem.
Metafen_0011_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0011_male.wav|male|Na recepcie zapiszę Metafen.
Metafen_0012_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0012_female.wav|female|Na recepcie zapiszę Metafen.
Metafen_0013_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0013_male.wav|male|Najlepiej w twoim przypadku sprawdzi się Metafen.
Metafen_0014_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0014_male.wav|male|Powinnaś przyjmować Metafen na ból i stan zapalny.
Metafen_0015_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0015_male.wav|male|Przepiszę ci Metafen, bo zwykle dobrze działa.
Metafen_0016_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Metafen_0016_male.wav|male|Jeśli masz ból i stan zapalny dobrze sprawdza się Metafen.
Nurofen Forte_0001_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0001_male.wav|male|Zalecam Nurofen Forte, bo dobrze działa na ból i stan zapalny.
Nurofen Forte_0002_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0002_male.wav|male|Powinnaś spróbować kuracji Nurofenem Forte.
Nurofen Forte_0003_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0003_female.wav|female|Jeśli masz ból i stan zapalny dobrze sprawdza się Nurofen Forte.
Nurofen Forte_0004_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0004_female.wav|female|Na recepcie zapiszę Nurofen Forte jako lek na ból i stan zapalny.
Nurofen Forte_0005_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0005_male.wav|male|Na recepcie zapiszę Nurofen Forte.
Nurofen Forte_0006_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0006_female.wav|female|Najlepiej w twoim przypadku sprawdzi się Nurofen Forte.
Nurofen Forte_0007_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0007_female.wav|female|Możesz kupić w aptece Nurofen Forte, powinien pomóc.
Nurofen Forte_0008_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0008_male.wav|male|Powinnaś przyjmować Nurofen Forte na ból i stan zapalny.
Nurofen Forte_0009_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0009_male.wav|male|Na recepcie zapiszę Nurofen Forte jako lek na ból i stan zapalny.
Nurofen Forte_0010_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0010_female.wav|female|Przepiszę ci Nurofen Forte, bo zwykle dobrze działa.
Nurofen Forte_0011_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0011_female.wav|female|Powinnaś przyjmować Nurofen Forte na ból i stan zapalny.
Nurofen Forte_0012_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0012_female.wav|female|Na ból i stan zapalny przepiszę ci Nurofen Forte.
Nurofen Forte_0013_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0013_male.wav|male|Jeśli masz ból i stan zapalny dobrze sprawdza się Nurofen Forte.
Nurofen Forte_0014_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0014_male.wav|male|Na ból i stan zapalny przepiszę ci Nurofen Forte.
Nurofen Forte_0015_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0015_male.wav|male|Możesz kupić w aptece Nurofen Forte, powinien pomóc.
Nurofen Forte_0016_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Nurofen Forte_0016_female.wav|female|Na recepcie zapiszę Nurofen Forte.
Dolgit_0001_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0001_male.wav|male|Na recepcie zapiszę Dolgit jako lek na ból i stan zapalny.
Dolgit_0002_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0002_male.wav|male|Na recepcie zapiszę Dolgit.
Dolgit_0003_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0003_male.wav|male|Jeśli masz ból i stan zapalny dobrze sprawdza się Dolgit.
Dolgit_0004_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0004_female.wav|female|Powinnaś spróbować kuracji Dolgitem.
Dolgit_0005_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0005_female.wav|female|Na recepcie zapiszę Dolgit.
Dolgit_0006_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0006_female.wav|female|Jeśli masz ból i stan zapalny dobrze sprawdza się Dolgit.
Dolgit_0007_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0007_female.wav|female|Na ból i stan zapalny przepiszę ci Dolgit.
Dolgit_0008_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0008_male.wav|male|Przepiszę ci Dolgit, bo zwykle dobrze działa.
Dolgit_0009_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0009_female.wav|female|Powinnaś przyjmować Dolgit na ból i stan zapalny.
Dolgit_0010_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0010_male.wav|male|Na ból i stan zapalny przepiszę ci Dolgit.
Dolgit_0011_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0011_male.wav|male|Powinnaś spróbować kuracji Dolgitem.
Dolgit_0012_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0012_female.wav|female|Zalecam Dolgit, bo dobrze działa na ból i stan zapalny.
Dolgit_0013_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0013_male.wav|male|Powinnaś przyjmować Dolgit na ból i stan zapalny.
Dolgit_0014_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0014_male.wav|male|Zalecam Dolgit, bo dobrze działa na ból i stan zapalny.
Dolgit_0015_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0015_female.wav|female|Możesz kupić w aptece Dolgit, powinien pomóc.
Dolgit_0016_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Dolgit_0016_male.wav|male|Najlepiej w twoim przypadku sprawdzi się Dolgit.
Bisocard_0001_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0001_male.wav|male|Jeśli masz nadciśnienie dobrze sprawdza się Bisocard.
Bisocard_0002_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0002_male.wav|male|Na recepcie zapiszę Bisocard.
Bisocard_0003_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0003_male.wav|male|Najlepiej w twoim przypadku sprawdzi się Bisocard.
Bisocard_0004_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0004_female.wav|female|Możesz kupić w aptece Bisocard, powinien pomóc.
Bisocard_0005_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0005_female.wav|female|Jeśli masz nadciśnienie dobrze sprawdza się Bisocard.
Bisocard_0006_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0006_female.wav|female|Najlepiej w twoim przypadku sprawdzi się Bisocard.
Bisocard_0007_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0007_female.wav|female|Na recepcie zapiszę Bisocard jako lek na nadciśnienie.
Bisocard_0008_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0008_female.wav|female|Na nadciśnienie przepiszę ci Bisocard.
Bisocard_0009_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0009_male.wav|male|Powinnaś spróbować kuracji Bisocardem.
Bisocard_0010_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0010_male.wav|male|Na recepcie zapiszę Bisocard jako lek na nadciśnienie.
Bisocard_0011_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0011_male.wav|male|Przepiszę ci Bisocard, bo zwykle dobrze działa.
Bisocard_0012_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0012_male.wav|male|Możesz kupić w aptece Bisocard, powinien pomóc.
Bisocard_0013_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0013_female.wav|female|Powinnaś spróbować kuracji Bisocardem.
Bisocard_0014_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0014_female.wav|female|Na recepcie zapiszę Bisocard.
Bisocard_0015_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0015_male.wav|male|Powinnaś przyjmować Bisocard na nadciśnienie.
Bisocard_0016_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisocard_0016_female.wav|female|Powinnaś przyjmować Bisocard na nadciśnienie.
Bibloc_0001_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0001_male.wav|male|Najlepiej w twoim przypadku sprawdzi się Bibloc.
Bibloc_0002_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0002_male.wav|male|Możesz kupić w aptece Bibloc, powinien pomóc.
Bibloc_0003_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0003_female.wav|female|Powinnaś przyjmować Bibloc na nadciśnienie.
Bibloc_0004_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0004_female.wav|female|Na recepcie zapiszę Bibloc.
Bibloc_0005_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0005_female.wav|female|Jeśli masz nadciśnienie dobrze sprawdza się Bibloc.
Bibloc_0006_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0006_female.wav|female|Powinnaś spróbować kuracji Biblocem.
Bibloc_0007_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0007_male.wav|male|Na recepcie zapiszę Bibloc jako lek na nadciśnienie.
Bibloc_0008_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0008_male.wav|male|Na nadciśnienie przepiszę ci Bibloc.
Bibloc_0009_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0009_male.wav|male|Powinnaś przyjmować Bibloc na nadciśnienie.
Bibloc_0010_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0010_female.wav|female|Najlepiej w twoim przypadku sprawdzi się Bibloc.
Bibloc_0011_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0011_male.wav|male|Powinnaś spróbować kuracji Biblocem.
Bibloc_0012_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0012_female.wav|female|Przepiszę ci Bibloc, bo zwykle dobrze działa.
Bibloc_0013_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0013_male.wav|male|Na recepcie zapiszę Bibloc.
Bibloc_0014_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0014_female.wav|female|Możesz kupić w aptece Bibloc, powinien pomóc.
Bibloc_0015_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0015_male.wav|male|Przepiszę ci Bibloc, bo zwykle dobrze działa.
Bibloc_0016_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bibloc_0016_male.wav|male|Zalecam Bibloc, bo dobrze działa na nadciśnienie.
Concor_0001_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0001_female.wav|female|Powinnaś spróbować kuracji Concorem.
Concor_0002_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0002_female.wav|female|Na recepcie zapiszę Concor.
Concor_0003_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0003_male.wav|male|Jeśli masz nadciśnienie dobrze sprawdza się Concor.
Concor_0004_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0004_female.wav|female|Na nadciśnienie przepiszę ci Concor.
Concor_0005_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0005_female.wav|female|Na recepcie zapiszę Concor jako lek na nadciśnienie.
Concor_0006_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0006_female.wav|female|Przepiszę ci Concor, bo zwykle dobrze działa.
Concor_0007_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0007_male.wav|male|Możesz kupić w aptece Concor, powinien pomóc.
Concor_0008_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0008_female.wav|female|Możesz kupić w aptece Concor, powinien pomóc.
Concor_0009_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0009_female.wav|female|Zalecam Concor, bo dobrze działa na nadciśnienie.
Concor_0010_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0010_male.wav|male|Powinnaś przyjmować Concor na nadciśnienie.
Concor_0011_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0011_male.wav|male|Przepiszę ci Concor, bo zwykle dobrze działa.
Concor_0012_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0012_female.wav|female|Najlepiej w twoim przypadku sprawdzi się Concor.
Concor_0013_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0013_male.wav|male|Zalecam Concor, bo dobrze działa na nadciśnienie.
Concor_0014_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0014_male.wav|male|Najlepiej w twoim przypadku sprawdzi się Concor.
Concor_0015_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0015_male.wav|male|Na recepcie zapiszę Concor jako lek na nadciśnienie.
Concor_0016_male|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Concor_0016_male.wav|male|Na recepcie zapiszę Concor.
Bisoratio_0001_female|C:/Users/Admin/Downloads/piper_out/Posts.csv\train\Bisoratio_0001_female.wav|female|Najlepiej w twoim przypadku sprawdzi się Bisoratio.
